Actividad económica principal;Indicador;Comunidad autónoma;periodo;Total
TOTAL;Porcentaje;Cataluña;2019;100,0
TOTAL;Porcentaje;Cataluña;2018;100,0
TOTAL;Porcentaje;Cataluña;2017;100,0
TOTAL;Porcentaje;Cataluña;2016;100,0
TOTAL;Porcentaje;Cataluña;2015;100,0
TOTAL;Porcentaje;Cataluña;2014;100,0
TOTAL;Porcentaje;Cataluña;2013;100,0
TOTAL;Porcentaje;Cataluña;2012;100,0
TOTAL;Porcentaje;Cataluña;2011;100,0
TOTAL;Porcentaje;Cataluña;2010;100,0
TOTAL;Porcentaje;Cataluña;2009;100,0
TOTAL;Porcentaje;Cataluña;2008;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2024;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2023;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2022;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2021;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2020;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2019;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2018;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2017;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2016;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2015;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2014;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2013;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2012;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2011;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2010;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2009;100,0
TOTAL;Porcentaje;Comunitat Valenciana;2008;100,0
TOTAL;Porcentaje;Extremadura;2024;100,0
TOTAL;Porcentaje;Extremadura;2023;100,0
TOTAL;Porcentaje;Extremadura;2022;100,0
TOTAL;Porcentaje;Extremadura;2021;100,0
TOTAL;Porcentaje;Extremadura;2020;100,0
TOTAL;Porcentaje;Extremadura;2019;100,0
TOTAL;Porcentaje;Extremadura;2018;100,0
TOTAL;Porcentaje;Extremadura;2017;100,0
TOTAL;Porcentaje;Extremadura;2016;100,0
TOTAL;Porcentaje;Extremadura;2015;100,0
TOTAL;Porcentaje;Extremadura;2014;100,0
TOTAL;Porcentaje;Extremadura;2013;100,0
TOTAL;Porcentaje;Extremadura;2012;100,0
TOTAL;Porcentaje;Extremadura;2011;100,0
TOTAL;Porcentaje;Extremadura;2010;100,0
TOTAL;Porcentaje;Extremadura;2009;100,0
TOTAL;Porcentaje;Extremadura;2008;100,0
TOTAL;Porcentaje;Galicia;2024;100,0
TOTAL;Porcentaje;Galicia;2023;100,0
TOTAL;Porcentaje;Galicia;2022;100,0
TOTAL;Porcentaje;Galicia;2021;100,0
TOTAL;Porcentaje;Galicia;2020;100,0
TOTAL;Porcentaje;Galicia;2019;100,0
TOTAL;Porcentaje;Galicia;2018;100,0
TOTAL;Porcentaje;Galicia;2017;100,0
TOTAL;Porcentaje;Galicia;2016;100,0
TOTAL;Porcentaje;Galicia;2015;100,0
TOTAL;Porcentaje;Galicia;2014;100,0
TOTAL;Porcentaje;Galicia;2013;100,0
TOTAL;Porcentaje;Galicia;2012;100,0
TOTAL;Porcentaje;Galicia;2011;100,0
TOTAL;Porcentaje;Galicia;2010;100,0
TOTAL;Porcentaje;Galicia;2009;100,0
TOTAL;Porcentaje;Galicia;2008;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2024;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2023;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2022;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2021;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2020;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2019;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2018;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2017;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2016;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2015;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2014;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2013;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2012;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2011;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2010;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2009;100,0
TOTAL;Porcentaje;Madrid, Comunidad de;2008;100,0
TOTAL;Porcentaje;Murcia, Región de;2024;100,0
TOTAL;Porcentaje;Murcia, Región de;2023;100,0
TOTAL;Porcentaje;Murcia, Región de;2022;100,0
TOTAL;Porcentaje;Murcia, Región de;2021;100,0
TOTAL;Porcentaje;Murcia, Región de;2020;100,0
TOTAL;Porcentaje;Murcia, Región de;2019;100,0
TOTAL;Porcentaje;Murcia, Región de;2018;100,0
TOTAL;Porcentaje;Murcia, Región de;2017;100,0
TOTAL;Porcentaje;Murcia, Región de;2016;100,0
TOTAL;Porcentaje;Murcia, Región de;2015;100,0
TOTAL;Porcentaje;Murcia, Región de;2014;100,0
TOTAL;Porcentaje;Murcia, Región de;2013;100,0
TOTAL;Porcentaje;Murcia, Región de;2012;100,0
TOTAL;Porcentaje;Murcia, Región de;2011;100,0
TOTAL;Porcentaje;Murcia, Región de;2010;100,0
TOTAL;Porcentaje;Murcia, Región de;2009;100,0
TOTAL;Porcentaje;Murcia, Región de;2008;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2024;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2023;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2022;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2021;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2020;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2019;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2018;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2017;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2016;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2015;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2014;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2013;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2012;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2011;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2010;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2009;100,0
TOTAL;Porcentaje;Navarra, Comunidad Foral de;2008;100,0
TOTAL;Porcentaje;País Vasco;2024;100,0
TOTAL;Porcentaje;País Vasco;2023;100,0
TOTAL;Porcentaje;País Vasco;2022;100,0
TOTAL;Porcentaje;País Vasco;2021;100,0
TOTAL;Porcentaje;País Vasco;2020;100,0
TOTAL;Porcentaje;País Vasco;2019;100,0
TOTAL;Porcentaje;País Vasco;2018;100,0
TOTAL;Porcentaje;País Vasco;2017;100,0
TOTAL;Porcentaje;País Vasco;2016;100,0
TOTAL;Porcentaje;País Vasco;2015;100,0
TOTAL;Porcentaje;País Vasco;2014;100,0
TOTAL;Porcentaje;País Vasco;2013;100,0
TOTAL;Porcentaje;País Vasco;2012;100,0
TOTAL;Porcentaje;País Vasco;2011;100,0
TOTAL;Porcentaje;País Vasco;2010;100,0
TOTAL;Porcentaje;País Vasco;2009;100,0
TOTAL;Porcentaje;País Vasco;2008;100,0
TOTAL;Porcentaje;Rioja, La;2024;100,0
TOTAL;Porcentaje;Rioja, La;2023;100,0
TOTAL;Porcentaje;Rioja, La;2022;100,0
TOTAL;Porcentaje;Rioja, La;2021;100,0
TOTAL;Porcentaje;Rioja, La;2020;100,0
TOTAL;Porcentaje;Rioja, La;2019;100,0
TOTAL;Porcentaje;Rioja, La;2018;100,0
TOTAL;Porcentaje;Rioja, La;2017;100,0
TOTAL;Porcentaje;Rioja, La;2016;100,0
TOTAL;Porcentaje;Rioja, La;2015;100,0
TOTAL;Porcentaje;Rioja, La;2014;100,0
TOTAL;Porcentaje;Rioja, La;2013;100,0
TOTAL;Porcentaje;Rioja, La;2012;100,0
TOTAL;Porcentaje;Rioja, La;2011;100,0
TOTAL;Porcentaje;Rioja, La;2010;100,0
TOTAL;Porcentaje;Rioja, La;2009;100,0
TOTAL;Porcentaje;Rioja, La;2008;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2024;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2023;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2022;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2021;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2020;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2019;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2018;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2017;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2016;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2015;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2014;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2013;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2012;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2011;100,0
TOTAL;Porcentaje;Ceuta y Melilla;2010;..
TOTAL;Porcentaje;Ceuta y Melilla;2009;..
TOTAL;Porcentaje;Ceuta y Melilla;2008;..
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2024;35.159,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2023;32.640,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2022;34.636,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2021;32.467,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2020;32.273,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2019;30.731,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2018;28.278,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2017;27.676,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2016;26.197,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2015;24.003,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2014;21.506,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2013;19.270,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2012;18.167,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2011;16.827,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2010;16.291,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2009;15.240,0
931 Gestión de instalaciones deportivas;Valores absolutos;Total;2008;14.962,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2024;5.529,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2023;5.005,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2022;5.217,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2021;4.824,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2020;4.754,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2019;4.425,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2018;4.057,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2017;3.964,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2016;3.796,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2015;3.527,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2014;3.173,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2013;2.740,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2012;2.591,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2011;2.389,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2010;2.332,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2009;2.170,0
931 Gestión de instalaciones deportivas;Valores absolutos;Andalucía;2008;2.148,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2024;924,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2023;851,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2022;959,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2021;890,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2020;896,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2019;831,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2018;780,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2017;747,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2016;707,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2015;641,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2014;571,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2013;495,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2012;473,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2011;434,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2010;408,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2009;348,0
931 Gestión de instalaciones deportivas;Valores absolutos;Aragón;2008;369,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2024;771,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2023;717,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2022;743,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2021;693,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2020;706,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2019;674,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2018;597,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2017;571,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2016;578,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2015;516,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2014;477,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2013;437,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2012;426,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2011;409,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2010;380,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2009;344,0
931 Gestión de instalaciones deportivas;Valores absolutos;Asturias, Principado de;2008;331,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2024;1.419,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2023;1.321,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2022;1.316,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2021;1.214,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2020;1.200,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2019;1.156,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2018;1.035,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2017;1.026,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2016;956,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2015;870,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2014;790,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2013;732,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2012;696,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2011;632,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2010;630,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2009;619,0
931 Gestión de instalaciones deportivas;Valores absolutos;Balears, Illes;2008;610,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2024;2.105,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2023;1.926,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2022;2.009,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2021;1.887,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2020;1.923,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2019;1.861,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2018;1.657,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2017;1.669,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2016;1.551,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2015;1.431,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2014;1.288,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2013;1.117,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2012;1.057,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2011;955,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2010;911,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2009;848,0
931 Gestión de instalaciones deportivas;Valores absolutos;Canarias;2008;834,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2024;548,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2023;517,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2022;484,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2021;444,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2020;449,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2019;427,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2018;383,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2017;389,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2016;339,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2015;328,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2014;300,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2013;266,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2012;239,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2011;226,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2010;199,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2009;177,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cantabria;2008;196,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2024;1.515,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2023;1.408,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2022;2.020,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2021;1.926,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2020;1.937,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2019;1.871,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2018;1.715,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2017;1.665,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2016;1.569,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2015;1.440,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2014;1.269,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2013;1.143,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2012;1.082,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2011;992,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2010;946,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2009;760,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla y León;2008;759,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2024;1.276,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2023;1.239,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2022;1.313,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2021;1.233,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2020;1.259,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2019;1.206,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2018;1.071,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2017;1.060,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2016;976,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2015;893,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2014;782,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2013;659,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2012;615,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2011;558,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2010;522,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2009;505,0
931 Gestión de instalaciones deportivas;Valores absolutos;Castilla-La Mancha;2008;483,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2024;5.989,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2023;5.605,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2022;5.753,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2021;5.453,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2020;5.395,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2019;5.171,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2018;4.913,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2017;4.758,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2016;4.501,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2015;4.079,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2014;3.605,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2013;3.250,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2012;3.042,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2011;2.872,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2010;2.821,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2009;2.650,0
931 Gestión de instalaciones deportivas;Valores absolutos;Cataluña;2008;2.664,0
931 Gestión de instalaciones deportivas;Valores absolutos;Comunitat Valenciana;2024;4.224,0
931 Gestión de instalaciones deportivas;Valores absolutos;Comunitat Valenciana;2023;3.896,0
931 Gestión de instalaciones deportivas;Valores absolutos;Comunitat Valenciana;2022;3.884,0
931 Gestión de instalaciones deportivas;Valores absolutos;Comunitat Valenciana;2021;3.607,0
931 Gestión de instalaciones deportivas;Valores absolutos;Comunitat Valenciana;2020;3.481,0
931 Gestión de instalaciones deportivas;Valores absolutos;Comunitat Valenciana;2019;3.300,0
